,employeeid,firstname,lastname,gender,age,businesstravel,department,distancefromhome (km),state,ethnicity,education,educationfield,jobrole,maritalstatus,salary,stockoptionlevel,overtime,hiredate,attrition,yearsatcompany,yearsinmostrecentrole,yearssincelastpromotion,yearswithcurrmanager,performanceid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating
13,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR376,7/31/2014,5,5,4,3,2,3,4,4
14,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR4176,7/29/2020,3,2,2,2,0,2,3,3
15,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR5192,7/29/2021,5,3,4,2,1,4,4,4
16,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR6295,7/29/2022,3,4,4,3,0,2,5,4
17,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR741,7/31/2015,4,3,4,3,2,4,5,5
18,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR1035,4/8/2016,3,3,2,1,0,2,3,2
19,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR1583,4/8/2017,4,4,3,2,2,5,4,4
20,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR2235,4/8/2018,5,4,4,2,2,5,3,2
21,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR280,4/9/2014,5,2,3,1,0,2,4,4
22,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR2981,4/8/2019,3,4,2,3,0,2,3,3
23,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR3851,4/7/2020,4,2,3,3,0,5,3,2
24,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR4841,4/7/2021,4,4,3,3,2,4,4,3
25,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR5918,4/7/2022,4,5,3,3,0,4,4,3
26,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR599,4/9/2015,3,4,3,1,0,5,4,4
27,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR1016,3/27/2016,3,5,3,3,0,2,3,3
28,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR1562,3/27/2017,4,5,5,1,1,5,4,3
29,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR2211,3/27/2018,4,3,4,3,1,2,4,4
30,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR267,3/28/2014,3,5,5,1,2,2,5,5
31,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR2954,3/27/2019,4,4,3,3,2,5,3,2
32,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR3818,3/26/2020,4,5,2,3,2,2,5,4
33,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR4807,3/26/2021,1,1,2,1,1,2,3,3
34,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR582,3/28/2015,5,4,3,1,1,2,5,5
35,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,PR5879,3/26/2022,1,4,3,2,2,3,3,3
36,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR1107,5/13/2016,4,3,2,1,0,5,3,2
37,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR137,5/14/2013,5,2,4,2,1,5,4,3
38,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR1662,5/13/2017,4,3,5,1,2,4,4,3
39,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR2321,5/13/2018,4,3,2,1,1,3,4,3
40,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR3078,5/13/2019,4,5,4,3,0,4,4,3
41,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR332,5/14/2014,4,5,4,2,3,5,5,5
42,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR3962,5/12/2020,3,4,5,3,2,5,4,4
43,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR4958,5/12/2021,3,4,3,1,2,5,3,2
44,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,2012-01-05,Yes,6,1,1,6,PR661,5/14/2015,5,2,5,2,1,3,3,2
45,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR1325,11/22/2016,4,4,2,3,1,5,4,4
46,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR1949,11/22/2017,5,5,2,1,2,4,5,4
47,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR2661,11/22/2018,3,4,2,2,0,3,5,5
48,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR3486,11/22/2019,4,4,4,2,1,2,3,3
49,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR420,11/23/2014,5,5,2,2,2,2,4,4
50,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR4435,11/21/2020,4,5,4,1,3,5,5,4
51,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR5480,11/21/2021,4,2,3,3,0,3,3,2
52,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR6598,11/21/2022,4,2,4,3,0,2,5,5
53,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,2012-01-05,No,10,3,7,9,PR810,11/23/2015,4,3,3,1,3,4,3,2
54,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR1199,7/17/2016,3,3,3,2,1,3,5,4
55,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR1777,7/17/2017,4,5,5,3,2,4,4,4
56,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR2450,7/17/2018,4,5,4,3,2,2,4,3
57,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR3232,7/17/2019,5,3,5,3,0,2,4,4
58,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR368,7/18/2014,3,5,5,1,1,3,5,5
59,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR4140,7/16/2020,4,3,5,3,0,4,5,5
60,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR5152,7/16/2021,4,5,4,2,0,4,5,4
61,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR6255,7/16/2022,3,5,3,3,3,2,5,4
62,D906-B674,Uta,Melmar,Female,42,No Travel ,Technology,45,NY,Black or African American,3,Information Systems,Engineering Manager,Married,259284,1,No,2012-01-09,No,10,2,6,6,PR730,7/18/2015,3,5,2,3,2,3,4,4
63,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR1483,2/18/2017,5,2,2,2,3,5,5,4
64,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR2121,2/18/2018,5,5,3,3,1,2,3,2
65,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR215,2/19/2014,5,2,4,1,3,3,3,2
66,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR2854,2/18/2019,3,5,5,3,2,5,3,3
67,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR3709,2/18/2020,4,2,2,3,3,3,3,2
68,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR4683,2/17/2021,3,3,3,1,2,3,5,4
69,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR516,2/19/2015,5,2,5,2,3,4,5,5
70,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR54,2/19/2013,4,5,3,2,0,5,4,4
71,3C7D-86ED,Joyan,Brason,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,2,Other,Sales Executive,Divorced,104426,1,No,2012-01-11,No,10,3,4,6,PR940,2/19/2016,5,2,2,3,2,4,4,4
72,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR1340,12/5/2016,4,2,3,2,0,4,5,5
73,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR1966,12/5/2017,3,2,3,3,1,5,3,2
74,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR2680,12/5/2018,5,2,3,2,0,5,4,4
75,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR3509,12/5/2019,5,4,2,3,1,3,4,4
76,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR425,12/6/2014,4,5,5,1,3,4,4,3
77,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR4459,12/4/2020,4,5,2,1,1,5,4,3
78,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR5506,12/4/2021,3,2,5,3,2,2,4,4
79,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR6630,12/4/2022,3,3,2,3,1,3,5,5
80,3D71-8DC2,Alix,Blazejewski,Male,38,Some Travel,Sales,20,IL,Black or African American,4,Marketing ,Sales Executive,Married,147098,1,No,2012-01-11,No,10,5,8,2,PR821,12/6/2015,4,4,4,1,1,3,3,3
81,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR1461,2/5/2017,3,4,2,2,0,3,3,2
82,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR204,2/6/2014,3,5,3,2,1,5,3,2
83,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR2094,2/5/2018,4,3,5,2,0,5,4,3
84,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR2824,2/5/2019,3,5,4,2,2,5,3,2
85,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR3676,2/5/2020,2,4,3,3,1,1,3,2
86,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR44,2/6/2013,5,3,5,3,2,3,5,5
87,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR4648,2/4/2021,5,2,2,1,3,2,3,2
88,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR500,2/6/2015,4,4,2,2,1,5,5,4
89,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR5710,2/4/2022,5,4,3,1,2,5,3,3
90,5476-CA0D,Kayley,Snoad,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,2,Information Systems,Data Scientist,Single,69747,0,No,2012-01-12,Yes,6,5,5,1,PR920,2/6/2016,3,4,4,2,1,2,5,4
91,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR1527,3/7/2017,3,4,4,2,1,2,3,3
92,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR2170,3/7/2018,4,5,4,3,1,2,5,5
93,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR244,3/8/2014,3,5,4,3,0,3,3,2
94,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR2907,3/7/2019,4,5,2,3,0,3,5,4
95,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR3765,3/6/2020,3,3,3,3,2,3,3,2
96,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR4745,3/6/2021,1,3,4,2,1,3,5,5
97,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR553,3/8/2015,4,5,2,1,1,5,4,4
98,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR77,3/8/2013,4,4,5,1,1,4,5,5
99,73CF-4956,Hannis,Waslin,Female,32,Some Travel,Technology,42,CA,White,4,Computer Science,Data Scientist,Single,102022,0,No,2012-01-12,No,10,4,5,8,PR982,3/7/2016,5,4,5,2,1,5,3,3
100,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR1273,10/3/2016,3,2,2,1,2,2,5,5
101,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR1874,10/3/2017,3,4,3,1,0,3,3,3
102,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR2575,10/3/2018,3,4,3,1,2,2,4,4
103,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR3386,10/3/2019,3,4,5,1,3,4,5,5
104,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR401,10/4/2014,4,4,3,1,2,4,5,4
105,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR4321,10/2/2020,4,4,4,2,1,2,3,3
106,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR5353,10/2/2021,3,3,3,1,0,5,4,4
107,277A-A6FA,Annabela,Pablos,Female,35,Some Travel,Technology,8,NY,Other ,4,Information Systems,Machine Learning Engineer,Single,272175,0,No,2012-01-12,No,10,7,8,2,PR777,10/4/2015,4,3,5,2,1,4,3,2
108,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR1416,1/17/2017,4,2,4,3,1,3,5,4
109,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR177,1/18/2014,5,4,3,3,0,3,3,3
110,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR2046,1/17/2018,5,5,3,2,0,5,5,4
111,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR23,1/18/2013,3,4,4,3,2,3,5,4
112,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR2771,1/17/2019,3,2,2,3,0,2,3,3
113,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR3617,1/17/2020,3,2,4,3,2,3,4,4
114,8BAB-B4A6,Torey,Abram,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,3,Marketing ,Manager,Single,340229,0,Yes,2012-01-13,No,10,7,9,3,PR470,1/18/2015,3,3,2,2,2,3,4,3
